,product_id,product_name,category_id,no_orders
1088,58581,ViraCid-S (Neospark Brand | Disinfectant) 5kg,2841.0,2
1087,55375,Potassium Nitrate Fertilizer (25kg Bag) 13-0-46,4793.0,3
1086,26338,Vinash - 1 Litre Systemic Herbicide (Carton of 12 Pcs),2856.0,1
1085,64179,Maxi Magna S (Magnesium Sulfate Fertilizer | 50kg),5134.0,1
1084,66030,Efia F1 Hot Pepper Seeds (East West Seed Brand | 1000 Seeds),5134.0,3
1083,69014,,,1
1082,69883,,,1
1081,68658,Mycoplasma Vaccine (Large Dose Vial) + Transport Flask,2703.0,2
1080,72004,,,1
1079,68665,Coryza Vaccine (Izovac Brand | In Oil Emulsion | 1000-Dose) + Transport Flask,2703.0,1
1078,65700,,,2
1077,59074,Seed Tray (Nursery Tray | 105/128/200 Cells),880.0,3
1076,59236,,,2
1075,59851,Drip Tape (For Drip Irrigation | Rubber Material),880.0,2
1074,72051,,,2
1073,72046,,,1
1072,68880,Motorized Knapsack Sprayer (15L Capacity | Model 769),880.0,4
1071,72074,,,2
1070,21926,Motorised Knapsack Power Sprayer - 15L,2880.0,7
1069,66868,Plastic Milk Bucket (Polypropylene | 30 Liters | With Rubber Lid),880.0,1
1068,27176,Electric Scalding Machine | 70 Litres | 120 Litres,7203.0,1
1067,69779,,,1
1066,49734,Day-Old NPG Broilers (Cobb 500),3570.0,1
1065,22434,Motorized Knapsack Power Sprayer Lance (Accessory),880.0,3
1064,64238,NPK Fertilizers (NPK 20-10-10 | 50kg),5134.0,1
1063,57248,Paraeforce (Herbicide | 1liter | 12pcs per Carton),5129.0,2
1062,70629,,,2
1061,39960,Coconut Seedlings (9 Months Seedlings | Hybrid | Dwarf Varieties),4839.0,2
1060,69349,,,1
1059,70911,,,6
1058,64221,Indorama Urea Fertilizer (50kg | 46% Nitrogen),5129.0,1
1057,72302,,,1
1056,23722,MORIGAD Lysol Disinfectant (150ml),2703.0,1
1055,71859,,,1
1054,63257,Poultry Processing Line (Combo Offer),6501.0,1
1053,31708,Electric Brooder (Stem-type Thermostat | Air Circulating Fan | 1000 Chicks Capacity),880.0,2
1052,69096,,,1
1051,59086,Plastic Mulch Film (Reflective Films | Silver/Black | 300m x 1.2m),880.0,2
1050,69775,,,2
1049,70811,,,4
1048,66899,Maxi K Fertilizer (Soluble Potassium Nitrate | NPK 13-0-46),5134.0,1
1047,72638,,,2
1046,72647,,,4
1045,72657,,,5
1044,66254,Soursop Seedlings,4839.0,1
1043,16530,Paper Egg Crates (Bundle of 100 pieces),3050.0,5
